#{"t_start": 1775974238.6233823, "env_id": "None"}
r,l,t
-39.294699,3,85.701544
-40.348089,5,85.702533
-35.061825,3,85.703544
-53.010596,3,85.704536
-20.253427,4,85.705533
-36.947186,2,85.706533
-44.206989,4,85.708552
-41.076171,3,85.708552
-27.421334,3,85.709572
-21.185536,2,85.710572
-50.80428,3,85.711571
-28.348473,4,85.712571
-38.997716,3,85.713571
-52.303927,3,85.713571
-38.796004,3,85.714571
-48.553543,3,85.715561
-30.879279,3,85.716562
-29.356089,7,85.718561
-49.902396,4,85.721564
-24.012572,2,85.722565
-50.793157,3,85.723583
-18.137276,2,85.724105
-29.608155,3,85.725122
-23.240402,2,85.726121
-21.955946,2,85.726121
-52.970796,3,85.727121
-32.63002,3,85.728121
-41.802899,3,85.729121
-42.650994,3,85.729121
-29.99565,2,85.730121
-37.552903,3,85.731121
-41.265389,4,85.732121
-29.000858,2,85.733116
-46.043054,3,85.733116
-32.848772,4,85.735114
-21.490874,2,85.735114
-35.371539,3,85.736115
-39.20055,3,85.737121
-23.613333,3,85.738122
-50.581426,3,85.739128
-22.485699,2,85.739128
-38.770622,3,85.740124
-67.416813,4,85.742121
-47.738133,3,85.742121
-30.214555,2,85.743121
-21.552059,2,85.744121
-51.730456,3,85.744121
-32.367004,2,85.745121
-51.277605,3,85.746121
-51.683626,3,85.747121
-64.532836,5,85.748121
-41.330993,4,85.749115
-26.230728,3,85.750121
-43.637029,3,85.751122
-22.113749,2,85.752114
-44.592138,3,85.753114
-26.284416,2,85.753114
-53.015194,3,85.754114
-25.775217,2,85.755114
-30.630751,4,85.756114
-23.943308,2,85.756114
-43.024838,3,85.757113
-23.313587,3,85.758114
-46.304388,3,85.759113
-24.71727,3,85.760113
-20.326672,2,85.760113
-27.663615,3,85.761114
-45.985232,3,85.762114
-52.028184,3,85.763114
-31.721221,3,85.764114
-32.441112,3,85.765114
-25.707638,3,85.766114
-36.486605,4,85.767124
-35.848504,3,85.768126
-40.422298,4,85.769125
-30.73151,3,85.771141
-37.306649,3,85.772119
-37.650687,4,85.773119
-21.651119,2,85.774117
-40.590133,3,85.774117
-24.919166,9,85.777117
-23.618394,5,85.779119
-48.96189,3,85.780119
-33.115977,3,85.781119
-32.729068,4,85.782119
-19.823618,3,85.783119
-34.250757,3,85.784118
-20.941553,2,85.785116
-24.253401,2,85.785116
-27.209857,3,85.786119
-23.85916,2,85.787118
-19.590662,2,85.787118
-46.500967,3,85.788119
-40.802099,3,85.789119
-23.37772,3,85.790119
-23.64144,3,85.79112
-30.053033,3,85.79212
-32.668298,3,85.793117
-34.620302,3,85.794119
-48.602,3,85.795119
-30.34745,3,85.795119
-39.180353,3,85.796119
-65.803595,4,85.798119
-44.773382,4,85.799119
-28.679658,2,85.799119
-50.642965,3,85.800128
-38.66356,4,85.802125
-50.033304,3,85.802125
-52.199763,3,85.803124
-24.619862,2,85.804124
-36.134468,2,85.805124
-25.687909,3,85.805124
-24.899509,3,85.806124
-27.634679,2,85.807127
-24.347244,4,85.808124
-38.294222,5,85.809141
-40.088349,3,85.810141
-67.545831,8,85.812141
-52.143266,3,85.813141
-24.318745,2,85.814141
-41.669745,3,85.815138
-44.85835,4,85.816131
-46.664251,3,85.817138
-43.937483,3,85.818138
-44.011534,3,85.819138
-46.910943,4,85.820138
-23.418858,2,85.821138
-36.899932,4,85.822139
-47.437775,3,85.822139
-21.806225,2,85.823651
-20.395248,3,85.823651
-35.61602,4,85.825666
-21.09313,2,85.825666
-22.85689,3,85.826666
-51.579084,3,85.827666
-42.787955,3,85.828666
-18.443351,4,85.829666
-20.283852,2,85.832662
-33.573629,3,85.833664
-46.001296,4,85.834664
-40.943921,5,85.835664
-22.367967,2,85.836664
-30.450251,3,85.837664
-50.05679,3,85.838664
-37.160189,3,85.839664
-42.069992,3,85.840662
-30.166841,3,85.840662
-45.612033,3,85.841664
-43.136104,4,85.842664
-46.527893,3,85.843664
-42.935094,3,85.844664
-22.529104,2,85.845665
-52.909929,3,85.846664
-34.642326,9,85.848664
-85.543402,5,85.850672
-22.29465,2,85.850672
-43.29801,3,85.85167
-43.080769,3,85.852669
-43.161351,3,85.853669
-25.980254,4,85.854669
-26.414173,5,85.855669
-42.746797,4,85.857666
-47.378444,3,85.858665
-40.612706,3,85.858665
-37.280139,3,85.859664
-38.381309,3,85.860664
-20.070739,3,85.861664
-45.234259,3,85.862663
-21.581157,3,85.863677
-71.199631,5,85.865659
-50.451231,3,85.866674
-43.339606,4,85.867667
-30.298634,3,85.868666
-42.667907,3,85.869667
-19.711572,2,85.869667
-38.334009,3,85.870667
-26.213352,2,85.871666
-23.883011,3,85.872666
-50.33814,3,85.873666
-20.310701,2,85.873666
-67.518854,5,85.875668
-39.651823,3,85.876667
-35.038698,4,85.877666
-39.086459,3,85.878666
-38.869739,3,85.879668
-42.251424,3,85.879668
-55.229684,4,85.881666
-38.209307,4,85.882663
-28.343842,3,85.883664
-22.867644,2,85.884664
-35.882467,2,85.884664
-29.814859,3,85.885664
-24.515174,2,85.886664
-42.809182,4,85.887664
-26.320526,2,85.887664
-24.53012,2,85.888664
-22.577056,6,85.890664
-42.072847,4,85.891679
-27.3657,5,85.892667
-16.042461,5,85.894666
-28.807872,3,85.895667
-57.818889,6,85.896666
-46.782438,3,85.897666
-52.115563,3,85.898666
-24.923673,3,85.899668
-54.583327,7,85.901666
-23.901693,2,85.901666
-44.574616,3,85.902666
-31.307591,3,85.903666
-31.655497,3,85.904666
-50.188426,3,85.905667
-50.757721,3,85.906667
-38.363289,4,85.907671
-53.38145,3,85.908666
-33.219795,4,85.909681
-45.562694,3,85.91068
-42.15234,3,85.911681
-31.087819,3,85.911681
-25.748162,2,85.91268
-45.356453,3,85.91368
-26.463169,3,85.91468
-22.001561,3,85.915674
-33.322231,3,85.916677
-45.884718,3,85.917677
-25.538631,2,85.917677
-38.558343,3,85.918675
-115.884748,1,85.918675
-28.845997,2,85.919678
-34.102449,5,85.921678
-32.80614,3,85.921678
-32.775158,3,85.923692
-38.235241,4,85.924214
-40.022177,4,85.92523
-42.085005,3,85.926229
-52.489047,3,85.928226
-44.169088,7,85.92923
-25.565767,3,85.93023
-44.092887,4,85.931229
-50.102308,3,85.933238
-47.345776,3,85.933238
-31.577157,3,85.93423
-45.377668,4,85.936229
-73.997385,5,85.93723
-16.557604,5,85.93823
-53.155099,5,85.94023
-29.249039,3,85.941235
-27.860602,3,85.941235
-46.017945,3,85.944225
-39.909291,3,85.945235
-24.994484,4,85.94623
-41.640742,5,85.94823
-23.080582,3,85.949222
-48.514229,3,85.95023
-27.949433,3,85.95023
-46.654684,4,85.95123
-45.318553,3,85.952229
-43.270234,3,85.95323
-28.102187,3,85.954229
-37.842506,4,85.95523
-29.474611,3,85.95623
-31.377263,3,85.95723
-27.801872,3,85.958234
-27.069864,2,85.958234
-52.939862,3,85.959234
-44.388665,4,85.96023
-49.333342,3,85.96123
-40.707968,4,85.962229
-44.456937,3,85.96323
-26.776748,2,85.96323
-44.322231,4,85.96423
-28.884204,2,85.96523
-36.48171,5,85.967228
-32.813462,7,85.969227
-25.546244,3,85.970227
-34.416237,3,85.971227
-30.778056,3,85.971227
-35.810156,3,85.972228
-46.699931,3,85.973225
-36.004228,4,85.975247
-21.154509,2,85.975247
-32.575341,3,85.976231
-30.572445,3,85.97723
-36.242276,5,85.97823
-36.62531,2,85.979229
-51.720823,3,85.98023
-27.529275,6,85.982223
-43.799532,3,85.983227
-32.873033,2,85.983227
-49.022736,3,85.984227
-30.285621,3,85.985227
-44.499235,3,85.986228
-46.139914,3,85.987227
-21.878725,2,85.988228
-25.000715,2,85.988228
-33.840133,5,85.990228
-34.450775,3,85.991228
-40.21361,3,85.992228
-23.934256,2,85.992228
-33.447417,4,85.993227
-45.172532,4,85.995227
-44.985392,3,85.995227
-24.683551,2,85.996227
-30.531236,3,85.997227
-25.787771,3,85.998228
-23.996948,3,85.999274
-20.612687,2,85.999274
-21.899314,3,86.000306
-42.981414,3,86.001305
-36.821992,3,86.002307
-58.613878,5,86.003304
-45.139313,4,86.005304
-36.268674,3,86.005304
-45.129094,3,86.007307
-21.247814,2,86.007307
-28.876267,3,86.008307
-46.689526,3,86.009396
-47.754379,3,86.010393
-24.256687,2,86.010393
-64.454674,3,86.011399
-47.176611,3,86.012397
-33.16038,4,86.013398
-50.751465,3,86.014394
-39.907644,3,86.015393
-50.528886,3,86.01634
-33.775091,3,86.017322
-51.776288,7,86.019321
-37.892215,3,86.020321
-38.984184,3,86.020321
-48.466891,3,86.021321
-25.076838,2,86.022321
-31.078322,3,86.022321
-25.18199,3,86.023836
-39.545259,3,86.024853
-36.904888,3,86.025851
-49.801891,3,86.026851
-53.072865,3,86.027851
-20.964509,2,86.027851
-43.228307,6,86.02985
-47.172446,3,86.030851
-24.850229,4,86.031851
-25.439338,4,86.032848
-31.503948,3,86.033848
-44.432795,4,86.034848
-34.348354,3,86.035848
-25.457584,2,86.036848
-50.890726,3,86.037848
-43.560085,6,86.038848
-26.048505,2,86.039849
-24.313196,2,86.040862
-27.665533,3,86.041852
-25.015716,2,86.041852
-30.950099,3,86.042851
-25.085313,3,86.043851
-33.022735,3,86.044851
-30.366415,2,86.044851
-48.965215,3,86.045851
-44.063284,3,86.04685
-46.924331,5,86.048851
-34.749176,3,86.049849
-29.240757,3,86.049849
-39.837723,4,86.051848
-39.637779,6,86.052848
-33.752873,3,86.055845
-37.800277,3,86.056851
-51.419237,3,86.057861
-32.073008,3,86.058851
-42.392513,3,86.059851
-31.862469,3,86.059851
-39.707929,4,86.061851
-34.273431,3,86.061851
-33.598077,3,86.062851
-27.948354,3,86.063851
-26.317907,3,86.064852
-56.590304,5,86.065844
-20.033887,2,86.066851
-29.172132,3,86.067851
-49.432853,3,86.068851
-23.795409,2,86.068851
-21.627495,3,86.069851
-52.527039,3,86.070852
-42.718413,3,86.071851
-23.829192,3,86.072851
-40.340274,3,86.073851
-39.165131,3,86.07486
-42.013682,3,86.075852
-31.515494,2,86.075852
-42.407097,3,86.076851
-22.786361,2,86.077851
-45.112909,3,86.077851
-27.831975,2,86.078851
-37.867996,4,86.079851
-50.158743,3,86.080851
-48.645525,7,86.083845
-37.903618,3,86.084851
-19.950701,4,86.085851
-29.465497,3,86.086851
-41.024432,3,86.086851
-27.588332,2,86.087851
-37.486837,3,86.088851
-38.351247,3,86.089851
-22.646641,3,86.090853
-24.670794,2,86.091851
-20.427618,6,86.092851
-27.735567,2,86.093851
-34.937344,3,86.094851
-36.550969,3,86.095851
-25.317388,3,86.095851
-46.902534,3,86.096851
-26.27996,2,86.097851
-40.311423,3,86.80063
-43.87827,4,86.802629
-28.243629,3,86.803629
-40.483304,3,86.805629
-56.454095,4,86.806629
-39.538531,3,86.808629
-21.949794,2,86.809637
-20.140657,2,86.810636
-34.924271,4,86.811637
-31.899836,3,86.813635
-43.125899,3,86.814636
-20.172182,2,86.815636
-21.862382,2,86.816637
-29.738186,6,86.818636
-23.831692,2,86.819636
-29.408009,5,86.822636
-46.209742,3,86.822636
-58.776066,4,86.825152
-46.677807,3,86.827152
-20.971421,2,86.827152
-47.44298,3,86.831148
-37.624307,3,86.832148
-35.089473,3,86.833149
-44.570303,4,86.835149
-38.845576,3,86.836148
-20.505109,4,86.837148
-20.975094,3,86.839148
-20.041937,2,86.839148
-26.739783,4,86.841148
-54.753836,4,86.842148
-22.93773,2,86.843148
-38.110013,3,86.844148
-44.160639,3,86.845148
-28.708666,3,86.847148
-34.193891,4,86.848148
-22.590008,2,86.849148
-29.693937,3,86.850148
-41.896354,3,86.852148
-20.265958,3,86.853148
-29.384659,3,86.854148
-58.149892,6,86.856148
-36.835927,4,86.857148
-21.120343,2,86.858148
-38.576888,4,86.860148
-25.243347,3,86.861148
-23.194541,4,86.862149
-23.344964,2,86.863148
-20.399293,2,86.864148
-38.866293,4,86.866148
-23.916757,3,86.867148
-35.006116,3,86.868148
-46.416685,3,86.870148
-22.309128,2,86.870148
-21.297042,2,86.871148
-30.531062,3,86.872148
-40.078793,5,86.874149
-37.211801,4,86.876148
-47.505878,3,86.877148
-31.172199,3,86.878156
-26.924939,2,86.879157
-20.310285,2,86.880156
-27.113738,4,86.881156
-28.704086,3,86.882156
-58.924023,4,86.884156
-68.738835,5,86.886155
-23.518524,3,86.887151
-19.729063,2,86.887151
-32.625668,2,86.888155
-45.595975,3,86.889156
-30.658271,3,86.891155
-47.919087,3,86.892154
-34.747287,2,86.892154
-46.707946,3,86.894155
-50.88599,3,86.895155
-21.696633,3,86.896156
-21.324274,2,86.897155
-72.658973,5,86.898155
-25.829271,4,86.900155
-42.990511,3,86.901155
-26.082471,2,86.902155
-43.524279,4,86.903155
-39.082628,3,86.904155
-27.392406,2,86.905155
-42.67715,3,86.906155
-38.354457,3,86.908153
-41.870242,3,86.909152
-41.021268,6,86.911163
-22.709842,2,86.912164
-69.392612,4,86.91316
-40.70293,3,86.914163
-19.111177,3,86.916161
-20.820094,2,86.917161
-30.258057,4,86.91816
-49.606915,3,86.92016
-26.039445,2,86.92116
-29.608124,3,86.92216
-20.744817,2,86.92316
-66.785295,4,86.924667
-27.434085,2,86.925674
-21.717162,2,86.926676
-28.74637,3,86.927675
-24.121455,2,86.928676
-42.43145,3,86.930675
-33.115634,4,86.931676
-36.861591,8,86.935676
-40.911012,3,86.936676
-28.631546,3,86.937676
-28.529828,2,86.941672
-31.450484,6,86.943672
-43.825889,3,86.944672
-20.458984,3,86.945672
-28.715241,3,86.946672
-46.315589,3,86.947672
-46.10901,4,86.949672
-31.49423,3,86.950672
-48.885405,3,86.951672
-41.25732,4,86.953672
-41.342615,3,86.954672
-34.270299,3,86.955673
-44.498116,3,86.956672
-66.007661,4,86.958672
-45.302509,3,86.960672
-30.844126,4,86.961672
-40.477139,3,86.963672
-51.314356,5,86.965672
-31.695001,5,86.967672
-29.06492,3,86.969672
-33.341689,4,86.970672
-41.166787,3,86.972672
-44.913817,3,86.973672
-33.325733,4,86.975672
-27.037982,4,86.976672
-19.921333,3,86.978672
-45.156969,4,86.980672
-49.275913,3,86.981672
-26.971457,3,86.982672
-44.052522,3,86.984672
-52.172728,3,86.985672
-46.241995,3,86.986672
-26.483213,2,86.987672
-22.042703,3,86.988672
-22.186001,5,86.990672
-53.882788,3,86.991672
-22.914616,2,86.992672
-41.326588,3,86.993672
-31.719851,2,86.994673
-45.473852,4,86.996672
-61.301043,5,86.998672
-49.665973,3,86.999674
-41.367564,4,87.00168
-26.482116,3,87.00268
-20.709956,3,87.003672
-37.756433,4,87.004681
-48.806829,3,87.00568
-49.253407,4,87.007683
-24.081832,2,87.00868
-32.018356,2,87.00868
-44.352057,3,87.009695
-20.645156,4,87.011694
-42.35972,3,87.012694
-44.682473,3,87.013695
-37.323171,3,87.014695
-28.52708,4,87.016695
-50.442148,3,87.017694
-35.064182,3,87.018694
-22.875973,2,87.019694
-30.642605,3,87.020694
-31.109786,5,87.021693
-22.229838,2,87.022694
-16.671988,6,87.025216
-36.782082,4,87.026216
-29.701952,3,87.027216
-20.686508,2,87.028217
-33.371376,5,87.029217
-33.982407,3,87.030216
-44.313801,5,87.032216
-25.738467,2,87.033227
-35.308553,3,87.03422
-21.916126,2,87.035217
-40.068452,3,87.036216
-19.989278,2,87.036216
-25.461326,2,87.037216
-40.985398,3,87.038216
-23.821738,2,87.039215
-38.931413,3,87.040215
-24.414001,2,87.040215
-32.60475,2,87.041215
-34.488813,3,87.042211
7.039931,9,87.045211
-44.676808,3,87.046211
-23.838788,2,87.04721
-21.965264,2,87.04721
-17.745955,5,87.04921
-33.555132,3,87.052211
-29.43107,3,87.05321
-35.313517,3,87.05421
-44.403527,3,87.05521
-30.595791,2,87.05521
-49.272921,3,87.05621
-44.19653,3,87.058214
-46.585203,3,87.058214
-50.980225,3,87.059215
-50.521767,3,87.060215
-36.03461,2,87.061215
-48.855632,3,87.062215
-46.08324,3,87.063215
-25.294604,3,87.064215
-23.381357,2,87.064215
-21.602279,4,87.066236
-51.696526,4,87.067229
-42.025279,3,87.06822
-49.59328,3,87.06922
-32.225307,3,87.07022
-53.86328,4,87.07122
-38.978472,3,87.07222
-35.072992,2,87.07222
-33.478137,3,87.073221
-26.64859,3,87.074212
-23.390329,3,87.07521
-22.236051,3,87.07621
-50.351764,3,87.07721
-38.226701,3,87.07721
-43.398944,3,87.07821
-33.084771,3,87.07921
-46.024141,3,87.08021
-38.153874,3,87.08121
-61.307588,7,87.084215
-25.39147,2,87.084215
-23.980434,3,87.085215
-48.769869,3,87.086215
-25.363437,5,87.087215
-49.837542,3,87.088215
-27.175705,3,87.089215
-32.762226,3,87.090215
-29.841143,3,87.09123
-42.006793,5,87.092221
-34.647779,3,87.09322
-31.447498,3,87.09422
-24.801245,2,87.09522
-20.801327,6,87.09622
-47.551849,3,87.09722
-23.669154,4,87.099211
-48.594194,3,87.099211
-19.754893,8,87.102217
-92.415028,9,87.104217
-32.230641,4,87.105217
-60.94046,6,87.107228
-24.108772,3,87.108217
-48.437598,3,87.109217
-31.003256,3,87.110232
-39.083599,5,87.111231
-46.300899,3,87.112231
-23.78402,2,87.112231
-35.513468,3,87.113231
-40.95411,3,87.114231
-30.99239,4,87.115232
-48.864757,3,87.116225
-27.318505,4,87.117224
-27.938825,3,87.118224
-20.103186,3,87.119224
-49.450113,3,87.120224
-22.804708,3,87.121224
-40.161232,3,87.122224
-25.070485,2,87.122224
-53.047733,3,87.123224
-41.09596,3,87.124734
-29.927228,4,87.125742
-29.560237,4,87.126742
-29.108601,3,87.127743
-38.607131,5,87.128743
-24.539346,2,87.129743
-59.705046,4,87.130743
-31.547599,2,87.131743
-52.353188,3,87.132743
-36.234197,3,87.132743
-29.035901,2,87.133743
-32.928997,3,87.134742
-35.101055,4,87.135743
-38.535727,4,87.136743
-27.99122,2,87.137743
-30.518632,3,87.138742
-24.476082,3,87.139742
-48.813172,3,87.140742
-24.858075,2,87.140742
-27.898243,2,87.141739
-32.856762,3,87.142738
-33.436253,3,87.142738
-22.023734,3,87.143738
-27.361422,2,87.144738
-31.331325,2,87.144738
-25.701549,2,87.145738
-20.65944,2,87.146739
-17.399676,6,87.147738
-41.93925,4,87.148738
-20.947429,2,87.149755
-46.133264,3,87.150749
-27.357425,2,87.151748
-37.188858,3,87.151748
-40.114272,3,87.152748
-33.032625,3,87.153749
-21.714819,2,87.154748
-23.738368,2,87.154748
-31.7126,3,87.156753
-28.349911,3,87.156753
-43.818793,3,87.157748
-37.63167,3,87.158748
-31.788872,2,87.159748
-47.56118,3,87.160748
-32.394067,3,87.160748
-47.682878,4,87.163742
-42.06174,3,87.164743
-25.35295,3,87.165743
-21.495767,3,87.166743
-52.580742,3,87.167743
-35.694138,6,87.168743
-46.751928,3,87.169743
-35.034691,4,87.170743
-40.00632,5,87.172742
-47.818863,3,87.173743
-45.210435,3,87.174759
-55.694167,4,87.175749
-27.724399,3,87.176749
-30.832444,6,87.178385
-46.383172,3,87.178385
-51.439959,7,87.180404
-24.232715,4,87.181404
-35.550809,3,87.183398
-21.359958,9,87.185398
-18.625883,5,87.187396
-69.810206,5,87.188398
-31.483575,6,87.190396
-39.197057,3,87.191415
-37.291855,3,87.192405
-20.58746,2,87.192405
-27.457219,3,87.193404
-40.466053,3,87.194406
-40.787414,3,87.195405
-32.382197,3,87.196404
-24.732882,2,87.196404
-21.351663,2,87.197404
-43.181706,4,87.198395
-18.996792,6,87.200398
-33.286943,3,87.201398
-36.125362,3,87.202398
-20.733215,2,87.202398
-37.967649,3,87.203398
-44.45794,3,87.204398
-47.708025,3,87.205399
-29.208251,6,87.207414
-30.684928,4,87.208405
-42.681762,4,87.209404
-30.709752,4,87.210423
-43.718214,3,87.211422
-24.059346,3,87.212422
-30.366264,3,87.213422
-45.162032,3,87.214422
-39.991524,3,87.214422
-53.992567,3,87.216427
-20.098231,2,87.216427
-27.463573,2,87.217422
-52.685333,3,87.218422
-43.598281,3,87.219422
-48.731616,3,87.219422
-40.413134,3,87.220422
-26.105079,3,87.221421
-47.456676,6,87.22342
-21.30988,3,87.224419
-38.077154,3,87.224939
-55.96523,5,87.225956
-34.719916,3,87.226955
-48.362193,3,87.227955
-36.548981,3,87.228955
-27.916823,3,87.229955
-20.73397,2,87.229955
-38.144048,3,87.230955
-26.58772,3,87.231955
-38.426281,3,87.232956
-44.456377,7,87.234955
-36.114545,3,87.235955
-47.986607,3,87.236955
-21.847274,3,87.236955
-27.399656,2,87.237956
-46.425715,4,87.238955
-35.184417,3,87.239955
-19.519579,2,87.240952
-30.826113,3,87.241953
-27.625361,2,87.241953
-22.630064,3,87.242952
-22.557121,2,87.243953
-46.45508,3,87.244952
-35.088366,3,87.244952
-26.847554,4,87.246952
-26.731881,3,87.246952
-39.480328,3,87.247952
-68.516262,4,87.249949
-34.660863,3,87.250949
-35.292371,3,87.250949
-46.764161,4,87.251949
-24.443966,2,87.252949
-23.49641,2,87.253948
-33.6423,3,87.253948
-48.262838,3,87.254949
-23.180626,2,87.255949
-31.283088,3,87.256949
-25.110227,3,87.258029
-29.787417,4,87.259032
-34.432623,3,87.260032
-25.777425,2,87.261027
-68.680125,4,87.262027
-44.225444,4,87.263029
-39.745008,4,87.264027
-48.258982,3,87.265028
-29.709675,2,87.265951
-59.973616,4,87.266955
-52.122589,3,87.267955
-21.286974,2,87.267955
-23.9242,5,87.269955
-32.773725,3,87.269955
-32.749781,2,87.270955
-24.603836,3,87.271955
-48.652186,3,87.274948
-20.247126,2,87.274948
-22.190099,3,87.275955
-30.389798,3,87.276955
-21.175147,2,87.277955
-22.145488,3,87.277955
-31.092088,4,87.279955
-44.487879,3,87.279955
-6.717416,7,87.281955
-26.636466,3,87.282958
-40.794627,3,87.283955
-42.338952,3,87.284955
-42.566217,3,87.285955
-46.949799,3,87.285955
-40.564427,4,87.287955
-24.186563,2,87.287955
-31.439791,2,87.288954
-21.425899,2,87.288954
-26.323866,4,87.290948
-45.265358,5,87.291948
-34.697221,3,87.292948
-35.672779,5,87.293948
-32.103238,3,87.294947
-21.357665,2,87.294947
-33.961086,3,87.295955
-32.271091,3,87.296955
-27.297382,2,87.297955
-34.36213,3,87.297955
-35.065996,5,87.29996
-43.432114,4,87.300956
-40.598346,7,87.302955
-39.554915,3,87.303955
-62.740968,4,87.304956
-20.304403,3,87.305955
-23.138048,2,87.305955
-33.699507,3,87.306955
-38.558389,3,87.307967
-26.077437,3,87.308956
-23.313328,3,87.30997
-44.562476,3,87.31097
-38.523855,4,87.31197
-15.723175,4,87.312969
-47.073234,3,87.313969
-24.258463,3,87.31497
-25.585381,2,87.31497
-44.586403,4,87.316969
-48.279518,3,87.316969
-51.510435,3,87.31797
-41.167103,3,87.318969
-41.780238,5,87.32097
-46.255433,3,87.32097
-42.731155,4,87.32297
-23.448696,2,87.32297
-29.672272,3,87.324479
-27.383523,4,87.325489
-25.347742,3,87.326489
-39.937579,3,87.327488
-25.431637,2,87.327488
-60.237754,5,87.329486
-23.399445,4,87.330488
-46.089315,3,87.331488
-47.240966,4,87.332488
-21.816793,2,87.332488
-28.803204,4,87.334488
-60.194227,4,87.335488
-26.654825,2,87.335488
-27.620245,2,87.336486
-33.274822,3,87.337489
-46.197261,4,87.338489
-24.117164,6,87.340567
-22.59069,2,87.340567
-29.317711,2,87.341565
-47.240673,3,87.342561
-47.98057,3,87.343562
-52.841043,3,87.343562
-51.002606,3,87.344564
-23.556717,3,87.345562
-45.32112,5,87.347566
-23.65623,2,87.347566
-39.405756,3,87.348562
-35.512922,4,87.350484
-46.361939,4,87.351491
-29.593902,2,87.352491
-34.49417,5,87.35349
-43.108898,3,87.35449
-71.550959,6,87.35649
-57.124254,7,87.35849
-50.789166,3,87.35949
-31.558601,3,87.360491
-23.788556,3,87.36149
-47.759922,3,87.36249
-24.677993,2,87.36249
-26.946622,3,87.363491
-35.298784,3,87.36449
-38.056244,3,87.36549
-28.547635,3,87.366488
-22.176428,2,87.366488
-44.471624,3,87.367488
-21.013545,2,87.368488
-24.140221,3,87.369488
-22.773372,2,87.369488
-19.739254,2,87.370488
-44.678976,3,87.371489
-42.734414,3,87.372488
-23.988446,2,87.372488
-34.224056,5,87.374502
-32.890483,4,87.375492
-34.332915,3,87.376491
-28.230695,3,87.37749
-30.913927,3,87.37849
-47.961492,4,87.37949
-42.853471,4,87.382488
-23.418822,2,87.383488
-45.005686,3,87.383488
-41.047612,4,87.385486
-29.195674,6,87.386488
-46.796078,4,87.387488
-21.802522,2,87.388488
-26.648154,3,87.389488
-53.555294,3,87.390488
-31.733184,4,87.391498
-37.565042,3,87.392491
-45.882243,3,87.39349
-49.011091,3,87.39449
-33.155771,2,87.39449
-29.536028,3,87.39549
-27.158613,2,87.39649
-19.358547,2,87.397488
-24.583281,3,87.398488
-50.653064,3,87.399489
-26.8643,4,87.400487
-32.85591,3,87.401492
-46.905172,3,87.402491
-53.053199,3,87.40349
-46.285597,3,87.40349
-34.123089,3,87.40449
-37.611473,3,87.405491
-24.610477,3,87.406492
-20.944254,2,87.407501
-28.623065,4,87.408491
-24.123897,5,87.409491
-21.41594,2,87.410505
-33.86758,4,87.411505
-35.924245,3,87.412505
-28.106128,3,87.413507
-28.067178,5,87.414505
-52.054697,3,87.415507
-35.700799,3,87.416502
-26.551395,2,87.417503
-35.897267,3,87.418502
-38.264415,3,87.418502
-47.952069,4,87.420502
-47.623493,3,87.421503
-44.252652,3,87.421503
-63.376732,4,87.423517
-25.742027,2,87.423517
-42.232832,3,87.425026
-40.500289,3,87.426041
-22.802699,2,87.426041
-21.566398,5,87.428041
-31.786455,3,87.428041
-46.580945,3,87.429046
-47.680111,3,87.430041
-31.723419,3,87.431041
-20.746795,2,87.431041
-21.185114,2,87.432041
-27.640371,2,87.433039
-48.177028,3,87.434038
-47.216868,3,87.435039
-27.814466,3,87.435039
-34.385783,4,87.437039
-36.857277,4,87.438039
-23.544139,4,87.439039
-34.789386,3,87.440039
-21.719568,2,87.441051
-35.944852,3,87.441051
-35.86773,4,87.443041
-28.875394,4,87.444041
-35.110716,3,87.445035
-24.784591,3,87.446035
-32.683251,2,87.446035
-33.384549,3,87.447041
-45.761613,4,87.448041
-21.666538,2,87.449035
-42.716221,3,87.450041
-45.353948,3,87.451041
-37.339997,4,87.452041
-45.169398,3,87.453041
-46.2262,3,87.454041
-20.433443,2,87.454041
-28.53724,3,87.455041
-25.604484,2,87.456041
-27.609635,3,87.457052
-28.43115,3,87.458041
-37.671382,4,87.459041
-20.52823,4,87.460041
-28.666924,3,87.461034
-20.373636,2,87.461034
-48.73856,3,87.462041
-49.324781,3,87.463041
-46.218094,3,87.464041
-34.858146,2,87.464041
-23.871447,3,87.466038
-36.704177,3,87.466038
-30.709379,2,87.467039
-37.43042,4,87.468038
-42.575905,3,87.469039
-31.093096,2,87.470039
-20.758528,2,87.470039
-22.431533,2,87.471039
-22.964457,2,87.471039
-35.4871,2,87.472039
-35.757004,3,87.473039
-43.106187,3,87.474051
-39.649402,5,87.475041
-46.001441,3,87.476041
-32.209721,4,87.477046
-46.629255,7,88.148189
-21.437954,2,88.149189
-44.512594,3,88.150189
-49.741576,3,88.151189
-22.621757,4,88.152189
-41.319674,3,88.154189
-20.867412,2,88.154189
-28.603276,2,88.155189
-33.733133,3,88.156189
-49.368741,3,88.157189
-22.465324,2,88.158189
-32.038135,3,88.161189
-38.35828,3,88.162189
-20.532369,2,88.163189
-50.10591,3,88.164189
-20.924969,2,88.165189
-25.07001,2,88.166189
-51.792275,3,88.167189
-22.140625,3,88.169189
-21.240575,2,88.170189
-27.644648,2,88.170189
-44.262113,4,88.172189
-25.436693,2,88.173189
-24.295033,3,88.174189
-36.476876,4,88.175763
-42.545804,3,88.177767
-28.603176,3,88.178766
-11.64802,8,88.181766
